GameID,StadiumID,TournamentID,Team_a,Team_b,GameDate,Attendence,Stage
189,44,12,14,3,"Wednesday June 24, 1998",41275,Group stage
190,35,12,36,7,"Saturday June 13, 1998",77000,Group stage
191,37,12,36,4,"Saturday June 20, 1998",55000,Group stage
192,41,12,36,5,"Thursday June 25, 1998",30600,Group stage
193,42,12,36,48,"Monday June 29, 1998",33000,Round of 16
194,37,12,36,1,"Saturday July 4, 1998",60000,Quarter-finals
195,38,12,36,51,"Saturday July 11, 1998",44000,Third-place match
196,43,12,4,5,"Saturday June 13, 1998",39100,Group stage
197,40,12,7,5,"Saturday June 20, 1998",31800,Group stage
198,39,12,40,5,"Monday June 29, 1998",29800,Round of 16
199,38,12,7,4,"Thursday June 25, 1998",45500,Group stage
200,38,12,40,27,"Monday June 15, 1998",49000,Group stage
201,44,12,40,48,"Sunday June 21, 1998",41275,Group stage
202,39,12,40,49,"Thursday June 25, 1998",35500,Group stage
203,43,12,40,51,"Saturday July 4, 1998",43300,Quarter-finals
204,41,12,48,49,"Sunday June 14, 1998",36000,Group stage
205,36,12,27,48,"Thursday June 25, 1998",38500,Group stage
206,43,12,27,49,"Sunday June 21, 1998",43300,Group stage
207,43,12,29,33,"Monday June 15, 1998",43300,Group stage
208,42,12,29,22,"Monday June 22, 1998",33140,Group stage
209,35,12,29,50,"Friday June 26, 1998",80000,Group stage
210,40,12,29,51,"Tuesday June 30, 1998",31800,Round of 16
